time	charge	amps	volts
1.000000	-0.000000	-0.000000	-2.874550
2.000000	0.000000	0.000001	-2.868470
3.000000	0.000001	0.000002	-2.857650
4.000000	0.000001	0.000002	-2.844930
5.000000	0.000002	0.000004	-2.830500
6.000000	0.000003	0.000004	-2.815310
7.000000	0.000005	0.000005	-2.799550
8.000000	0.000007	0.000006	-2.783030
9.000000	0.000009	0.000008	-2.766130
10.000000	0.000011	0.000008	-2.748850
11.000000	0.000014	0.000010	-2.731760
12.000000	0.000017	0.000010	-2.714480
13.000000	0.000020	0.000012	-2.697200
14.000000	0.000023	0.000012	-2.680300
15.000000	0.000027	0.000014	-2.663590
16.000000	0.000031	0.000015	-2.647260
17.000000	0.000035	0.000016	-2.630930
18.000000	0.000040	0.000017	-2.614980
19.000000	0.000045	0.000017	-2.599220
20.000000	0.000050	0.000019	-2.583650
21.000000	0.000056	0.000020	-2.567890
22.000000	0.000061	0.000021	-2.553080
23.000000	0.000067	0.000021	-2.537890
24.000000	0.000073	0.000022	-2.522700
25.000000	0.000080	0.000023	-2.507700
26.000000	0.000087	0.000025	-2.492890
27.000000	0.000094	0.000025	-2.477890
28.000000	0.000101	0.000027	-2.463080
29.000000	0.000109	0.000027	-2.448270
30.000000	0.000117	0.000029	-2.433270
31.000000	0.000125	0.000030	-2.418650
32.000000	0.000134	0.000031	-2.403270
33.000000	0.000142	0.000031	-2.388080
34.000000	0.000151	0.000033	-2.373080
35.000000	0.000161	0.000034	-2.358650
36.000000	0.000170	0.000035	-2.343840
37.000000	0.000180	0.000036	-2.328270
38.000000	0.000190	0.000037	-2.313270
39.000000	0.000201	0.000038	-2.298460
40.000000	0.000211	0.000039	-2.283270
41.000000	0.000222	0.000040	-2.268270
42.000000	0.000234	0.000041	-2.252890
43.000000	0.000245	0.000041	-2.237500
44.000000	0.000257	0.000043	-2.222310
45.000000	0.000269	0.000043	-2.207120
46.000000	0.000281	0.000045	-2.191550
47.000000	0.000294	0.000046	-2.176360
48.000000	0.000307	0.000047	-2.160980
49.000000	0.000320	0.000048	-2.143510
50.000000	0.000334	0.000049	-2.124720
51.000000	0.000347	0.000050	-2.108580
52.000000	0.000362	0.000050	-2.093010
53.000000	0.000376	0.000052	-2.077440
54.000000	0.000390	0.000053	-2.061870
55.000000	0.000405	0.000054	-2.046110
56.000000	0.000421	0.000055	-2.030540
57.000000	0.000436	0.000056	-2.014590
58.000000	0.000452	0.000057	-1.998640
59.000000	0.000468	0.000058	-1.982690
60.000000	0.000484	0.000059	-1.966550
61.000000	0.000501	0.000060	-1.950220
62.000000	0.000517	0.000060	-1.934080
63.000000	0.000534	0.000062	-1.918130
64.000000	0.000552	0.000063	-1.900090
65.000000	0.000570	0.000064	-1.882050
66.000000	0.000587	0.000065	-1.865340
67.000000	0.000606	0.000066	-1.848440
68.000000	0.000624	0.000067	-1.831540
69.000000	0.000643	0.000068	-1.814260
70.000000	0.000662	0.000069	-1.796980
71.000000	0.000681	0.000070	-1.779330
72.000000	0.000701	0.000070	-1.759010
73.000000	0.000721	0.000072	-1.739070
74.000000	0.000741	0.000073	-1.718940
75.000000	0.000761	0.000074	-1.700150
76.000000	0.000782	0.000075	-1.681540
77.000000	0.000803	0.000076	-1.662550
78.000000	0.000824	0.000077	-1.643370
79.000000	0.000846	0.000078	-1.620590
80.000000	0.000868	0.000079	-1.599700
81.000000	0.000890	0.000080	-1.579760
82.000000	0.000912	0.000080	-1.559830
83.000000	0.000935	0.000081	-1.539700
84.000000	0.000958	0.000082	-1.519760
85.000000	0.000981	0.000083	-1.499250
86.000000	0.001004	0.000084	-1.479510
87.000000	0.001028	0.000085	-1.459570
88.000000	0.001052	0.000086	-1.438490
89.000000	0.001076	0.000087	-1.418940
90.000000	0.001101	0.000088	-1.399380
91.000000	0.001126	0.000089	-1.380580
92.000000	0.001151	0.000091	-1.361210
93.000000	0.001176	0.000091	-1.340140
94.000000	0.001202	0.000093	-1.319820
95.000000	0.001228	0.000093	-1.301400
96.000000	0.001254	0.000095	-1.277290
97.000000	0.001281	0.000096	-1.258110
98.000000	0.001308	0.000097	-1.238930
99.000000	0.001335	0.000098	-1.219180
100.000000	0.001362	0.000099	-1.201330
101.000000	0.001390	0.000099	-1.182540
102.000000	0.001418	0.000101	-1.164500
103.000000	0.001446	0.000101	-1.146080
104.000000	0.001474	0.000103	-1.128800
105.000000	0.001503	0.000103	-1.110190
106.000000	0.001532	0.000105	-1.092530
107.000000	0.001561	0.000106	-1.075250
108.000000	0.001591	0.000107	-1.057970
109.000000	0.001621	0.000108	-1.040320
110.000000	0.001651	0.000109	-1.022850
111.000000	0.001681	0.000110	-1.005760
112.000000	0.001712	0.000111	-0.988859
113.000000	0.001743	0.000112	-0.972149
114.000000	0.001774	0.000113	-0.955250
115.000000	0.001806	0.000114	-0.938731
116.000000	0.001838	0.000114	-0.922211
117.000000	0.001870	0.000116	-0.906261
118.000000	0.001902	0.000117	-0.889932
119.000000	0.001935	0.000118	-0.873792
120.000000	0.001968	0.000119	-0.857272
121.000000	0.002001	0.000120	-0.840753
122.000000	0.002035	0.000120	-0.824613
123.000000	0.002068	0.000122	-0.808094
124.000000	0.002102	0.000122	-0.792334
125.000000	0.002137	0.000124	-0.775245
126.000000	0.002171	0.000125	-0.758535
127.000000	0.002206	0.000126	-0.740497
128.000000	0.002241	0.000127	-0.721509
129.000000	0.002277	0.000128	-0.702901
130.000000	0.002313	0.000129	-0.683343
131.000000	0.002349	0.000130	-0.663596
132.000000	0.002385	0.000131	-0.642329
133.000000	0.002421	0.000132	-0.621063
134.000000	0.002458	0.000133	-0.599416
135.000000	0.002495	0.000134	-0.577390
136.000000	0.002533	0.000135	-0.554985
137.000000	0.002570	0.000136	-0.534668
138.000000	0.002608	0.000137	-0.514350
139.000000	0.002647	0.000138	-0.494983
140.000000	0.002685	0.000139	-0.475995
141.000000	0.002724	0.000140	-0.454918
142.000000	0.002763	0.000141	-0.430234
143.000000	0.002802	0.000142	-0.401372
144.000000	0.002842	0.000143	-0.365865
145.000000	0.002882	0.000144	-0.332636
146.000000	0.002922	0.000145	-0.302255
147.000000	0.002962	0.000146	-0.274913
148.000000	0.003003	0.000147	-0.248899
149.000000	0.003044	0.000148	-0.223835
150.000000	0.003085	0.000149	-0.198771
151.000000	0.003127	0.000149	-0.168580
152.000000	0.003169	0.000150	-0.137630
153.000000	0.003211	0.000151	-0.102502
154.000000	0.003253	0.000152	-0.059210
155.000000	0.003296	0.000153	0.004779
156.000000	0.003339	0.000154	0.084908
157.000000	0.003382	0.000155	0.165227
158.000000	0.003425	0.000156	0.244597
159.000000	0.003469	0.000157	0.328144
160.000000	0.003513	0.000158	0.421375
161.000000	0.003557	0.000159	0.525618
162.000000	0.003602	0.000160	0.619988
163.000000	0.003646	0.000161	0.721194
164.000000	0.003691	0.000162	0.831134
165.000000	0.003737	0.000163	0.953226
166.000000	0.003782	0.000164	1.079310
167.000000	0.003828	0.000165	1.231780
168.000000	0.003874	0.000166	1.381020
169.000000	0.003921	0.000167	1.550780
170.000000	0.003967	0.000168	1.723190
171.000000	0.004014	0.000169	1.830280
172.000000	0.004062	0.000170	2.075030
173.000000	0.004109	0.000171	2.246870
174.000000	0.004157	0.000172	2.498460
175.000000	0.004205	0.000174	2.329660
176.000000	0.004254	0.000174	2.789550
177.000000	0.004306	0.000188	0.935378
178.000000	0.004355	0.000177	-0.273394
179.000000	0.004404	0.000178	-0.268267
180.000000	0.004454	0.000178	-0.259532
181.000000	0.004504	0.000179	-0.249849
182.000000	0.004554	0.000180	-0.239405
183.000000	0.004604	0.000181	-0.228392
184.000000	0.004655	0.000182	-0.217569
185.000000	0.004706	0.000184	-0.206366
186.000000	0.004757	0.000184	-0.193644
187.000000	0.004809	0.000186	-0.183011
188.000000	0.004860	0.000186	-0.171808
189.000000	0.004913	0.000188	-0.159846
190.000000	0.004965	0.000188	-0.148263
191.000000	0.005018	0.000190	-0.138010
192.000000	0.005070	0.000190	-0.127946
193.000000	0.005124	0.000192	-0.115224
194.000000	0.005177	0.000193	-0.103831
195.000000	0.005231	0.000194	-0.093008
196.000000	0.005285	0.000195	-0.081236
197.000000	0.005339	0.000196	-0.068894
198.000000	0.005394	0.000197	-0.059400
199.000000	0.005449	0.000198	-0.047058
200.000000	0.005504	0.000198	-0.033007
201.000000	0.005559	0.000200	-0.022563
202.000000	0.005614	0.000198	0.004969
203.000000	0.005669	0.000197	2.378840
204.000000	0.005725	0.000200	3.297290
205.000000	0.005782	0.000207	3.304690
206.000000	0.005838	0.000202	3.521720
207.000000	0.005895	0.000204	3.627870
208.000000	0.005953	0.000207	3.750720
209.000000	0.006011	0.000211	3.490580
210.000000	0.006069	0.000206	3.730020
211.000000	0.006127	0.000210	3.882490
212.000000	0.006185	0.000210	3.741030
213.000000	0.006244	0.000213	4.510990
214.000000	0.006303	0.000211	4.299470
215.000000	0.006362	0.000213	4.568530
216.000000	0.006422	0.000215	4.663470
217.000000	0.006482	0.000217	4.572520
218.000000	0.006542	0.000217	4.851260
219.000000	0.006603	0.000217	4.613150
220.000000	0.006663	0.000218	5.067720
221.000000	0.006724	0.000218	5.060690
222.000000	0.006785	0.000221	5.257980
223.000000	0.006847	0.000221	5.190190
224.000000	0.006909	0.000223	5.287790
225.000000	0.006976	0.000241	3.513180
226.000000	0.007038	0.000223	5.255510
227.000000	0.007100	0.000226	5.492860
228.000000	0.007164	0.000228	5.533300
229.000000	0.007227	0.000227	5.375130
230.000000	0.007290	0.000229	5.541850
231.000000	0.007354	0.000229	5.663560
232.000000	0.007418	0.000230	5.666030
233.000000	0.007482	0.000232	5.670970
234.000000	0.007547	0.000233	5.813760
235.000000	0.007612	0.000235	5.791350
236.000000	0.007678	0.000237	5.843000
237.000000	0.007743	0.000233	5.897300
238.000000	0.007808	0.000237	5.953890
239.000000	0.007874	0.000238	6.016360
240.000000	0.007940	0.000238	6.113960
241.000000	0.008007	0.000239	5.942680
242.000000	0.008072	0.000236	5.805020
